Results from Epoch-1 [RHCS]
created:2021-10-26 14:57:27.181408
Using source files:
-LoS_measurements_01Sep21.txt
-Polar_measurements_01Sep21.txt
-Point_List_20Sep21.txt

K13	-1158.76758281	4385.26671664	-1130.12887883
PQK36_2	3580.05540404	318.632559739	259.339613592
PQK36_6	3580.24741755	-317.829369707	-261.432962504
PQL6_10	1607.46023612	-190.898795074	379.661063273
PQK36_12	3200.16348211	-318.029854611	-261.938653355
PQK36_8	3200.05489228	318.603328446	259.316987015
Girder_16	3198.64741018	-320.880739426	-448.180929118
F	3731.97004444	-270.324129036	-467.791477962
J	3072.3297619	296.410323217	-462.983803051
K	2389.12825465	294.347650706	-465.127764763
K7	1114.55055261	-4449.18918917	-1341.80270794
G	4142.30550118	-260.899749633	-466.710576051
K14	1088.34319719	4384.62296211	620.303657443
Girder_8	1606.53363371	-319.50852803	-450.655002068
Girder_17	3581.67513077	320.759344868	-448.8656865
PQL6_2	2267.19356125	318.25183906	259.572910705
PQL6_8	1607.53028701	318.061221826	259.505956865
PQL6_1	2266.44988212	319.431444727	-261.0691869
K3	7828.53569963	-2243.98021255	-1118.33682388
PQK62_1	702.992136865	319.393416178	-261.098505401
PQL6_5	2266.95071233	-319.196439429	258.167882411
PQL6_3	2267.14314725	189.197204843	380.057232515
Girder_7	1607.51437534	321.466303932	-449.516541506
K10	-3314.52126392	-7.88937308636	-1110.46272504
K16	5585.68785118	4379.93182424	654.468499222
D	2392.18216625	-276.827669695	-467.543643156
PQK62_5	703.618765912	-319.491482085	258.17429119
PQK36_11	3199.68470273	-319.668112546	257.421992855
PQK62_8	323.584972484	318.75278125	259.71388195
PQL6_11	1607.44542568	-318.971108504	257.61047285
Girder_14	2732.53719215	-319.266073345	-262.693340781
I	3714.33822373	287.698031458	-462.849150293
Girder_18	3578.79191775	-320.555286081	-449.164739743
Girder_5	1158.96814039	319.565714231	-261.676232447
Girder_1	324.425489139	320.610501362	-448.29503599
Girder_4	700.430774735	-318.917351155	-451.231890361
Girder_12	2266.39058065	-320.968051026	-451.151871673
PQK36_3	3580.5126899	190.073956669	380.476499264
Girder_11	2267.16532994	320.271305569	-449.865433828
E	3066.92145585	-298.1732175	-467.19497441
Girder_10	1931.56381111	-320.177739123	-447.987328805
K11	-3335.26869379	2241.9544961	527.86199545
PQK62_9	322.496053755	189.355153994	380.223180905
PQK62_4	702.810050091	-190.201902638	380.148339841
Girder_2	321.147759794	-319.706336235	-396.325194239
K1	7783.5282731	2260.72929448	-1119.35123624
Girder_3	704.043366548	321.381953479	-448.223577209
K15	3340.45082364	4390.92160913	-1054.2731397
PQK36_10	3200.45466571	-191.146655523	379.098205632
Girder_9	1932.0541693	320.534753342	-447.549092364
M	870.564819642	278.350678761	-466.102059923
PQK36_7	3199.97046004	320.005690367	-260.444599045
PQK62_2	703.761709271	318.79956837	259.673624015
PQL6_4	2267.27237612	-190.740118203	379.527289694
PQL6_12	1607.47380956	-318.42684601	-261.48296287
PQL6_7	1606.96621097	319.573387309	-260.419614685
Girder_15	3201.98950227	320.273859974	-447.511310918
PQK36_4	3580.07123599	-190.453668979	379.502506483
K9	-3284.27641223	-2257.38974922	621.216751367
PQK62_10	322.797380464	-190.838387126	379.551368544
PQK62_11	323.201175854	-319.65596491	258.540764419
PQK62_7	323.089905067	318.932092842	-260.544243511
B	873.818562993	-276.636320054	-465.23497194
K4	5662.22983637	-4449.93579133	642.417104584
H	4153.44009834	287.741462458	-460.367157325
C	1459.5178006	-278.761392618	-466.423535712
K12	-3340.41276372	2213.87603557	-1339.98835624
K8	-1078.00447167	-4458.95172793	-1128.74777032
PQL6_9	1607.48062058	189.202164012	380.23641762
PQL6_6	2267.17161894	-318.6320408	-261.434587614
Girder_6	1160.98744875	-319.502470996	-261.553453115
PQK36_5	3579.75451736	-319.376281023	257.741510923
K2	7806.24940119	-8.86405255705	568.747602957
K5	3414.88229585	-4451.64011105	-1161.51943908
PQK62_3	703.243127657	189.173012642	380.284967193
PQK36_1	3579.78022425	320.101881053	-260.415501312
PQK36_9	3200.4884867	189.398051597	380.404487482
PQK62_6	702.731986488	-318.704911622	-261.213538859
K6	1167.14699068	-4445.60841571	602.512549724
L	1506.90600128	296.632117668	-466.31117157
Girder_13	2734.77239744	320.94560559	-259.174414773
PQK62_12	323.029674434	-319.142679755	-261.797805336
Instrument_0	1907.50326171	-1484.67353127	65.516019206
Instrument_1	1988.61804763	1503.97303736	77.8538997338
