Results from Epoch1 [RHCS]
created:2021-12-16 19:00:30.296476
Using source files:
-LoS_measurements_22Sep21.txt
-Polar_measurements_22Sep21.txt
-Point_List_22Sep21.txt

PQL6_10	1.60770291437	-0.189885872217	0.381274001303	3.204635430492965e-06	1.073753515988633e-05	3.1229779097731325e-05	3.3179262379463203e-05
K10	-3.3146649873	-0.00751607366267	-1.10845328139	1.8176975858719533e-05	9.692000422278665e-06	7.863885420180086e-05	8.129210732737844e-05
PQK36_9	3.20060805306	0.190497510344	0.381034375897	3.251006586108271e-06	7.165975809191011e-06	3.704847722531377e-05	3.787492465781844e-05
Girder_16	3.20047244549	-0.318428636967	-0.446250539479	8.608993843030269e-06	8.468120332807975e-06	1.5229911669216804e-05	1.943641032733141e-05
PQK62_11	0.323402165015	-0.318742361992	0.260327117231	3.5917843900866917e-06	6.430539208711497e-06	2.63211737452526e-05	2.7332342324568908e-05
K6	1.16622267425	-4.4460196297	0.595228226703	8.901639251999965e-06	1.5298918104583747e-05	7.057360010196265e-05	7.275939188788792e-05
K14	1.09060622904	4.38767173204	0.605624180936	9.529656636420578e-06	1.535731889455685e-05	7.143812679865292e-05	7.368899212051689e-05
E	3.0678370079	-0.296525614609	-0.463714416557	1.136566566198005e-05	1.1913014314441325e-05	4.032366180238895e-05	4.3555665155630884e-05
PQK36_5	3.5798978108	-0.318566643568	0.259603779329	3.602341916283683e-06	6.562341277231514e-06	2.704368835855479e-05	2.8060689057029638e-05
Girder_9	1.93212781232	0.31936814963	-0.446921108305	3.509836358091146e-06	1.1715008171658995e-05	1.1790269448653242e-05	1.698737240995386e-05
PQK36_3	3.58066401557	0.191180932058	0.381090449607	3.467074498913464e-06	7.2678783722089565e-06	4.222515557671341e-05	4.2986118981502505e-05
Girder_5	1.15906625228	0.31927984184	-0.260004702366	2.864007320945017e-06	6.532374572805198e-06	3.030944698895162e-05	3.1137389618751396e-05
PQK62_8	0.32376977128	0.319682784569	0.260585939962	3.666801285226699e-06	6.7089989620285415e-06	2.7056530084494758e-05	2.811604379977756e-05
PQK62_9	0.322700864795	0.190453042757	0.381302353575	3.3903007921028792e-06	7.4297247537155214e-06	4.334588812722616e-05	4.4108513542341374e-05
K17	3.41293876585	-4.4470389403	0.581815967703	1.0530694565780539e-05	1.417178406175359e-05	7.613564881185646e-05	7.815607469373748e-05
Instrument_1	1.98513085672	1.49552198924	0.0754366763169	2.1648115041009716e-06	2.7480913702276327e-06	1.1625620162112274e-05	1.214057079305248e-05
K11	-3.33447135178	2.24423943413	0.52783575342	9.966552022025973e-06	1.009330176001201e-05	9.051252785007512e-05	9.161727237501145e-05
PQK62_4	0.703030134146	-0.189091254693	0.381728905174	3.2585422762809255e-06	5.422682469585706e-06	2.7534775891556107e-05	2.8252211706882022e-05
PQL6_11	1.60767931561	-0.318184569645	0.259434764619	3.255644877447839e-06	9.021974446451344e-06	1.2966091461149395e-05	1.6128074102612642e-05
PQK36_10	3.20059677594	-0.190052378864	0.380677369854	3.2607823256187393e-06	5.2800594905628355e-06	2.7969127895346853e-05	2.864932538167731e-05
K18	-1.08427546702	-4.44861800976	0.681826967775	1.059129705563499e-05	1.0301007639861334e-05	7.623102411366287e-05	7.764956773308551e-05
Girder_15	3.20024933612	0.319472929358	-0.447232308559	8.458677688735479e-06	9.177490384168841e-06	1.5019849656794211e-05	1.952873374558945e-05
K9	-3.28514637786	-2.25761634292	0.611514768023	1.541369763925569e-05	1.289957096458963e-05	0.00011613724167467238	0.00011786364965410726
PQL6_7	1.60706933789	0.319377338188	-0.259763301761	2.693604499599492e-06	8.161853051849286e-06	1.2903913936859408e-05	1.55042686164204e-05
PQK36_1	3.579871333	0.319637141018	-0.260127324304	3.23037370983104e-06	6.811969375404493e-06	2.6428150216248537e-05	2.7482455584048777e-05
Girder_7	1.60686268936	0.319618824927	-0.448903007431	5.042847014702091e-06	1.1306355414800334e-05	1.2997848461819548e-05	1.7950154412034997e-05
PQK36_4	3.58021502341	-0.189333587088	0.38106456476	3.4760981613233185e-06	7.1952537253465755e-06	4.3187996163821596e-05	4.3921042192160446e-05
Girder_18	3.5806183463	-0.318291131114	-0.447228813563	1.0172237679491548e-05	8.55716865773257e-06	2.7056172570718894e-05	3.0145248863153704e-05
K4	5.66131773942	-4.45060053565	0.641825171274	1.4602303434456765e-05	1.3279435460190242e-05	0.00010428313371486746	0.00010613454974289113
Girder_12	2.26741340719	-0.318864782398	-0.449324776904	4.8815644580977345e-06	1.1090748482237688e-05	1.2920381594361522e-05	1.7713572028214314e-05
PQK36_2	3.58016344789	0.31944830995	0.259621570652	3.643859641655259e-06	6.607282732335418e-06	2.645174608541985e-05	2.750688584992176e-05
M	0.869985220652	0.27696528696	-0.463886262867	1.116619323810105e-05	1.2372756707580788e-05	4.0083258707683784e-05	4.341009800268489e-05
PQL6_4	2.26751392503	-0.189664597878	0.381055977927	3.2094553010268297e-06	1.0084534132519415e-05	3.086674240064422e-05	3.263057183726584e-05
Girder_11	2.26639625864	0.319506976007	-0.449247002652	4.524173976646548e-06	1.162404045006998e-05	1.2712136177588724e-05	1.7809684802190884e-05
PQK62_1	0.703115928804	0.31955407274	-0.26029116949	3.0469459892761673e-06	5.959471826010638e-06	1.52492099196908e-05	1.66534557219028e-05
I	3.71376073648	0.285523886029	-0.465123736914	1.333114649411372e-05	1.1138204595782486e-05	5.066370928470552e-05	5.355922429376836e-05
PQL6_5	2.26718384666	-0.318347939817	0.259883095916	3.2718712697955433e-06	8.598280790666105e-06	1.2922421224928521e-05	1.5862677720855782e-05
