Results from Epoch1 [RHCS]
created:2021-10-28 09:14:33.514897
Using source files:
-LoS_measurements_29Sep21.txt
-Polar_measurements_29Sep21.txt
-Point_List_29Sep21.txt

Girder_3	702.290537111	318.77322927	-446.927873381
K7	1116.46990856	-4448.46749904	-1339.43571228
PQL6_3	2267.79070634	191.06061825	379.909747316
Girder_4	701.999412806	-319.150669332	-447.80829824
K12	-3341.35868629	2208.36137383	-1337.90159821
Girder_1	322.653651834	318.243093798	-446.587762887
K20	101.439484039	23.9737599173	-1339.46748701
Girder_5	1158.82812139	318.960188396	-260.124446125
PQK62_4	703.497417191	-188.17129465	383.04329875
PQK36_12	3200.03610799	-318.946210801	-261.262912749
PQK36_5	3580.2345763	-317.919655648	257.95615055
PQK62_10	323.486402103	-188.722383957	383.001724206
G	4142.71429565	-260.111414238	-463.975369983
PQK36_11	3200.16623164	-318.215910013	258.082846829
Girder_9	1931.70641095	318.751323304	-447.748216464
Girder_7	1606.43959238	318.97905683	-449.413593627
K16	5590.60695652	4382.70803191	620.6733845
PQK62_9	323.140719564	191.301350074	382.241215476
PQL6_6	2267.07713396	-319.158406145	-259.819041843
Girder_16	3200.0013858	-319.225655295	-447.441619102
PQK62_1	702.873237417	319.26524454	-259.922997049
C	1459.90176396	-277.90719488	-464.576613959
PQL6_10	1608.1738055	-188.895384555	381.628387851
K14	1092.96736846	4388.91921624	598.550898414
Girder_11	2265.98119653	318.847798811	-450.404252257
E	3067.33857852	-297.363094916	-464.809417824
Girder_18	3580.14429501	-319.113092756	-448.881383146
PQK62_7	322.975188679	318.799035703	-258.932323367
K9	-3282.90912541	-2255.95019195	621.772908054
PQK62_11	323.751068319	-317.977817137	262.450499509
PQL6_12	1607.37804399	-318.997187403	-258.997551711
Girder_13	2734.63230395	319.146483599	-261.778589354
K17	3415.06939328	-4445.74731656	588.854989167
D	2392.5977944	-275.985703895	-465.380378467
Girder_10	1931.23755339	-319.572238082	-445.843160848
K3	7830.61097648	-2243.84567265	-1114.08775431
Girder_17	3579.5083395	318.915655254	-451.057602605
K23	4053.56702827	-1.25090543743	-1346.50406543
PQL6_9	1608.12936617	191.188425108	380.80519652
PQL6_4	2267.98380348	-188.759542824	380.620373393
PQK36_3	3581.07896019	191.977391321	378.880223416
PQL6_2	2267.65460297	319.711145524	258.96588569
I	3713.32576014	284.852247377	-467.626078172
PQK36_2	3580.41542484	320.05572454	257.180994923
K2	7808.67648443	-7.8006179138	563.814775703
Girder_8	1607.12472667	-319.402258786	-448.131255283
L	1505.88889641	294.405605263	-465.526374713
F	3732.38581832	-269.527668953	-465.193560682
PQL6_7	1606.8342369	319.074571548	-260.278204731
Girder_12	2266.95223068	-319.607139942	-449.422460383
K6	1168.37450673	-4444.58090367	604.87044894
K8	-1077.835148	-4459.98835066	-1117.50864813
K1	7783.12852889	2252.50242145	-1145.81786013
PQK62_12	322.90260538	-319.302723889	-257.878508222
PQL6_5	2267.53078371	-317.672262092	259.772464258
Girder_6	1160.87432734	-319.091733087	-258.558238531
K11	-3332.23225572	2245.61924536	528.854988157
K10	-3314.11597687	-9.25755399864	-1103.19614485
Girder_14	2732.42934192	-318.903592135	-260.303493449
K	2388.11888961	291.868304354	-466.569703961
PQL6_8	1607.98865956	319.465872285	259.639443229
H	4152.43051496	284.789780999	-466.270031956
PQK36_9	3201.02371455	191.285697763	379.186008271
K5	3416.71226639	-4451.12156576	-1158.38140189
PQK36_4	3580.66227294	-188.444171326	379.139603136
K19	-3292.70259189	-2260.30288393	-1117.70826925
B	874.23392713	-275.76988257	-463.582367347
K22	2620.71059932	35.6382246977	-1338.98425569
PQL6_1	2266.31832134	319.0062813	-261.674620006
PQK62_6	702.605046966	-318.866341637	-257.792403462
K21	1470.76680768	28.2667895394	-1339.68820795
PQK62_8	324.044532913	320.30638443	261.317052438
PQL6_11	1608.03092989	-317.481828688	260.073898172
M	869.544203513	276.317704892	-463.601961996
PQK62_2	704.220598298	320.353348081	260.850192979
PQK62_3	703.8814706	191.208964837	381.882578783
K13	-1157.90843124	4382.10049003	-1141.26952022
Girder_2	322.708518434	-319.618279897	-392.399675503
K4	5663.53382694	-4449.35424579	646.277129059
PQK36_8	3200.421197	319.99848058	257.540194708
PQK62_5	704.163033012	-317.820535109	261.596751653
Girder_15	3199.83644728	318.81797324	-449.294402076
PQK36_10	3201.04297335	-189.201772518	379.315433061
K18	-1082.09652743	-4446.98773153	693.511679053
PQK36_6	3580.11696977	-318.731598068	-261.199298982
PQK36_1	3579.62089482	319.33113132	-262.565108804
J	3071.31827381	293.749000074	-466.184535929
PQK36_7	3199.8140026	319.19914942	-262.213550468
Instrument_0	1909.13439474	-1487.04932697	67.7724589142
Instrument_1	1986.93618743	1495.92678699	72.5208503493
